station,latitude,longitude,year,month,day,sample_id,Acartia,Calanus_finmarchicus,Calanus_glacialis,Calanus_hyperboreus,Centropages,Centropages_typicus,Eurytemora,Metridia,Metridia_longa,Metridia_lucens,Microcalanus,Oithona,Oithona_atlantica,Oithona_similis,Paracalanus,Pseudocalanus,Temora_longicornis,other_copepods,copepods,non_copepods,Arctic_Calanus_species,warm_offshore_copepods,warm_shelf_copepods,mesozooplankton_dry_biomass,macrozooplankton_dry_biomass,zooplankton_dry_biomass,mesozooplankton_wet_biomass,macrozooplankton_wet_biomass,zooplankton_wet_biomass
HL2,44.26,-63.31,1999,1,13,99666001_99666102001001,NA,9244.712990936556,0,453.17220543806644,1078.9814415192059,1078.9814415192059,NA,0,1798.3024025320099,2157.9628830384117,1798.3024025320099,0,0,68695.15177672276,0,3956.2652855704214,2877.2838440512155,359.66048050640194,92419.79571284706,1798.3024025320096,453.17220543806644,0,1078.9814415192059,0.18851963746223568,0.08791540785498489,NA,NA,NA,1.1496978851963748
HL2,44.26,-63.31,1999,2,10,98078001_98078102003001,NA,12444.444444444443,0,72.37610761293257,144.75221522586514,144.75221522586514,NA,0,940.8893989681234,4053.0620263242236,868.5132913551909,0,72.37610761293257,10349.783388649357,0,506.63275329052794,0,1013.265506581056,30466.095240064653,1519.8982598715838,72.37610761293257,72.37610761293257,144.75221522586514,0.14498381877022654,0.3370873786407767,NA,NA,NA,4.206343042071197
HL2,44.26,-63.31,1999,2,16,98078057_98078102004001,NA,10096.851574212893,0,90.55472263868066,3937.1618538556804,3937.1618538556804,NA,0,2952.8713903917605,35434.45668470113,18701.518805814485,0,984.2904634639201,144690.69812919624,0,39371.61853855681,0,18701.51880581448,274961.54096864606,12795.776025030962,90.55472263868066,1968.5809269278402,3937.1618538556804,0.9739160419790105,1.2786326836581712,NA,NA,NA,15.26752623688156
HL2,44.26,-63.31,1999,3,31,98079037_98079102005001,NA,18382.608695652172,0,1720.5397301349326,25468.515742128933,0,NA,0,5659.670164917541,31128.185907046474,8489.505247376312,2829.8350824587706,2829.8350824587706,161300.5997001499,0,67916.0419790105,19808.845577211392,175449.77511244375,518154.1229385307,365048.72563718143,1720.5397301349326,0,0,NA,NA,NA,NA,NA,NA
HL2,44.26,-63.31,1999,4,8,99003013_99003102003002,NA,101854.55607476635,8487.879672897196,50927.27803738318,0,0,NA,0,0,0,8487.879672897196,0,0,164099.00700934578,0,33951.51869158878,67903.03738317757,229172.7511682243,664883.9077102804,333856.6004672897,59415.15771028037,0,0,3.2430490654205606,9.10625,NA,NA,NA,55.03541179906542
HL2,44.26,-63.31,1999,4,17,99003212_99003102037002,NA,62297.734627831705,8495.14563106796,28317.152103559867,2831.715210355987,0,NA,0,0,11326.860841423948,5663.430420711974,0,2831.715210355987,164239.48220064724,0,116100.32362459546,45307.44336569579,209546.92556634304,656957.928802589,235104.85436893202,36812.29773462783,0,0,NA,NA,NA,46.75184466019418,0.9568932038834951,47.70873786407766
HL2,44.26,-63.31,1999,4,17,99003216_99003102038001,NA,121008.77192982455,14049.70760233918,66622.80701754386,0,0,NA,0,0,16995.614035087718,2832.6023391812864,0,0,192616.95906432747,0,141630.11695906433,11330.409356725146,178453.94736842104,745540.9356725146,331414.4736842105,80672.51461988303,0,0,3.1625438596491233,5.595409356725146,NA,NA,NA,36.94801169590643
HL2,44.26,-63.31,1999,5,5,99666008_99666102008001,NA,32809.66767371601,0,10332.326283987915,25490.936555891236,0,NA,0,4248.489425981873,5664.652567975831,0,0,4248.489425981873,121790.03021148036,0,32571.752265861025,2832.3262839879153,58062.688821752265,298051.3595166163,42484.89425981873,10332.326283987915,0,0,1.320996978851964,3.6312688821752266,NA,NA,NA,31.814501510574022
HL2,44.26,-63.31,1999,5,19,99666009_99666102009001,NA,38614.03508771929,1743.1399010346377,6526.315789473684,6972.559604138551,0,NA,0,1743.1399010346377,27890.238416554203,20917.67881241565,0,5229.419703103912,113304.09356725145,0,95872.69455690506,5229.419703103912,29633.37831758884,353676.1133603238,76698.15564552405,8269.455690508321,0,0,2.1573099415204675,3.9071783625730996,NA,NA,NA,38.731418128654965
HL2,44.26,-63.31,1999,6,10,99666010_99666102010001,NA,33168.75,0,3625,1416.015625,0,NA,0,0,5664.0625,5664.0625,0,11328.125,150097.65625,0,89208.984375,25488.28125,39648.4375,365309.375,49560.546875,3625,0,0,1.120125,1.89496875,NA,NA,NA,22.94625
